CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,CNT_FAM_MEMBERS,paid_off,#_of_pastdues,no_loan,target
M,Y,Y,427500.0,Working,Higher education,Married,House / apartment,32.89041095890411,-12.443835616438356,2.0,13,2,1,1
M,Y,Y,427500.0,Working,Higher education,Married,House / apartment,32.89041095890411,-12.443835616438356,2.0,12,2,1,1
M,Y,Y,112500.0,Working,secondary,Married,House / apartment,58.83287671232877,-3.106849315068493,2.0,7,7,16,0
F,N,Y,270000.0,Working,secondary,Single,House / apartment,52.35616438356164,-8.35890410958904,1.0,0,2,3,0
F,N,Y,270000.0,Working,secondary,Single,House / apartment,52.35616438356164,-8.35890410958904,1.0,0,0,5,1
F,N,Y,270000.0,Working,secondary,Single,House / apartment,52.35616438356164,-8.35890410958904,1.0,15,6,6,1
F,N,Y,270000.0,Working,secondary,Single,House / apartment,52.35616438356164,-8.35890410958904,1.0,27,6,6,1
F,N,Y,283500.0,Pensioner,Higher education,Single,House / apartment,61.54520547945206,1000.6657534246575,1.0,0,14,3,0
F,N,Y,283500.0,Pensioner,Higher education,Single,House / apartment,61.54520547945206,1000.6657534246575,1.0,0,14,3,0
F,N,Y,283500.0,Pensioner,Higher education,Single,House / apartment,61.54520547945206,1000.6657534246575,1.0,0,14,3,0
M,Y,Y,270000.0,Working,Higher education,Married,House / apartment,46.224657534246575,-2.106849315068493,2.0,0,6,0,0
M,Y,Y,270000.0,Working,Higher education,Married,House / apartment,46.224657534246575,-2.106849315068493,2.0,0,35,8,0
M,Y,Y,135000.0,Working,secondary,Married,House / apartment,48.706849315068496,-3.271232876712329,2.0,0,0,8,1
M,Y,Y,135000.0,Working,secondary,Married,House / apartment,48.706849315068496,-3.271232876712329,2.0,0,1,8,0
M,Y,Y,135000.0,Working,secondary,Married,House / apartment,48.706849315068496,-3.271232876712329,2.0,0,6,3,0
M,Y,Y,135000.0,Working,secondary,Married,House / apartment,48.706849315068496,-3.271232876712329,2.0,0,1,8,0
M,Y,Y,135000.0,Working,secondary,Married,House / apartment,48.706849315068496,-3.271232876712329,2.0,0,4,1,0
M,Y,Y,135000.0,Working,secondary,Married,House / apartment,48.706849315068496,-3.271232876712329,2.0,0,4,0,0
F,Y,N,130500.0,Working,Higher education,Married,House / apartment,29.23013698630137,-3.021917808219178,2.0,0,26,0,0
F,Y,N,130500.0,Working,Higher education,Married,House / apartment,29.23013698630137,-3.021917808219178,2.0,18,12,0,1
F,N,Y,157500.0,Working,secondary,Married,House / apartment,27.482191780821918,-4.024657534246575,2.0,16,15,1,1
F,N,Y,157500.0,Working,secondary,Married,House / apartment,27.482191780821918,-4.024657534246575,2.0,4,15,1,0
F,N,Y,157500.0,Working,secondary,Married,House / apartment,27.482191780821918,-4.024657534246575,2.0,19,15,1,1
F,N,Y,112500.0,Working,secondary,Single,House / apartment,30.04931506849315,-4.438356164383562,3.0,40,5,0,1
